0: itu-t
1.3.14.2.26: ???
1.3.14.2.26.5: sha
1.3.14.3: secsig
1.3.14.3.2: algorithms
1.3.14.3.2.1: rsa
1.3.14.3.2.1.1: rsa
1.3.14.3.2.2: md4WitRSA
1.3.14.3.2.2.1: sqmod-N
1.3.14.3.2.3: md5WithRSA
1.3.14.3.2.3.1: sqmod-NwithRSA
1.3.14.3.2.4: md4WithRSAEncryption
1.3.14.3.2.6: desECB
1.3.14.3.2.7: desCBC
1.3.14.3.2.8: desOFB
1.3.14.3.2.9: desCFB
1.3.14.3.2.10: desMAC
1.3.14.3.2.11: rsaSignature
1.3.14.3.2.12: dsa
1.3.14.3.2.13: dsaWithSHA
1.3.14.3.2.14: mdc2WithRSASignature
1.3.14.3.2.15: shaWithRSASignature
1.3.14.3.2.16: dhWithCommonModulus
1.3.14.3.2.17: desEDE
1.3.14.3.2.18: sha
1.3.14.3.2.19: mdc-2
1.3.14.3.2.20: dsaCommon
1.3.14.3.2.21: dsaCommonWithSHA
1.3.14.3.2.22: rsaKeyTransport
1.3.14.3.2.23: keyed-hash-seal
1.3.14.3.2.24: md2WithRSASignature
1.3.14.3.2.25: md5WithRSASignature
1.3.14.3.2.26: sha1
1.3.14.3.2.27: dsaWithSHA1
1.3.14.3.2.28: dsaWithCommonSHA1
1.3.14.3.2.29: sha-1WithRSAEncryption
1.3.14.3.3: authentication-mechanism
1.3.14.3.3.1: simple-strong-auth-mechanism
1.3.14.7: dssig
1.3.14.7.2: algorithm
1.3.14.7.2.1: encryptionAlgorithm
1.3.14.7.2.1.1: ElGamal
1.3.14.7.2.3: signatureAlgorithm
1.3.14.7.2.3.1: md2WithRSA
1.3.14.7.2.3.2: md2WithElGamal
1.3.18: sna-osi-network
1.3.18.0: objects
1.3.18.0.2: distributed-directory
1.3.18.0.2.18: x509-certificate-extensions
1.3.18.0.2.18.1: hostIDMapping
1.3.27: icao
1.3.27.16: icaoSecurity
1.3.27.16.0: icaoSecurity
1.3.27.16.0.1: ???
1.3.27.16.0.1.1: ???
1.3.27.16.0.1.1.1: ???
1.3.27.16.0.1.1.1.1: ???
1.3.27.16.0.1.1.1.1.1: ???
1.3.27.16.0.1.1.1.1.1.1: ???
1.3.27.16.0.1.1.1.1.1.1.0: icaoTestValidationPolicy
1.3.27.16.1: icaoCertPolicy
1.3.27.16.1.2: icaoIATFRootCA
1.3.27.16.1.2.0: ???
1.3.27.16.1.2.0.1: icaoIdentityAssurance
1.3.27.16.1.2.0.1.1: icaoIdentityAssuranceLow
1.3.27.16.1.2.0.1.2: icaoIdentityAssuranceLowDevice
1.3.27.16.1.2.0.1.3: icaoIdentityAssuranceLowTSPMediated
1.3.27.16.1.2.0.1.4: icaoIdentityAssuranceMedium
1.3.27.16.1.2.0.1.5: icaoIdentityAssuranceMediumDevice
1.3.27.16.1.2.0.1.6: icaoIdentityAssuranceMediumTSPMediated
1.3.27.16.1.2.0.1.7: icaoIdentityAssuranceMediumHardware
1.3.27.16.1.2.0.1.8: icaoIdentityAssuranceMediumDeviceHardware
1.3.27.16.1.2.0.1.9: icaoIdentityAssuranceHigh
1.3.27.16.1.2.0.1.10: icaoIdentityAssuranceHighCardAuth
1.3.27.16.1.2.0.1.11: icaoIdentityAssuranceHighContentSigning
1.3.27.16.1.2.1: icaoIATFBridgeCA
1.3.27.16.1.2.1.0: icaoCAODRootCA
1.3.27.16.1.2.1.1: icaoCAODBridgeCA
1.3.27.16.1.2.1.1.1: icaoUSBridgeCA
1.3.27.16.1.2.1.1.1.1: icaoFAARootCA
1.3.27.16.1.2.1.1.1.1.1: icaoFAAIssuingCA
1.3.27.16.1.2.1.1.1.1.1.1: icaoFAAClientCertificate
1.3.27.16.1.2.1.1.1.1.1.2: icaoFAAServerCertificate
1.3.27.16.1.2.1.1.1.1.1.3: icaoFAASWIMSigningCertificate
1.3.27.16.1.4: ???
1.3.27.16.1.4.1: ???
1.3.27.16.1.4.1.1: icaoSWIMSigning
1.3.36: teletrust
1.3.36.1: document
1.3.36.1.1: finalVersion
1.3.36.1.2: draft
1.3.36.2: sio
1.3.36.2.1: sedu
1.3.36.3: algorithm
1.3.36.3.1: encryptionAlgorithm
1.3.36.3.1.1: des
1.3.36.3.1.1.1: desECB_pad
1.3.36.3.1.1.1.1: desECB_ISOpad
1.3.36.3.1.1.2: des-cbc
1.3.36.3.1.1.2.1: desCBC_pad
1.3.36.3.1.1.2.1.1: desCBC_ISOpad
1.3.36.3.1.2: idea
1.3.36.3.1.2.1: ideaECB
1.3.36.3.1.2.1.1: ideaECB_pad
1.3.36.3.1.2.1.1.1: ideaECB_ISOpad
1.3.36.3.1.2.2: ideaCBC
1.3.36.3.1.2.2.1: ideaCBC_pad
1.3.36.3.1.2.2.1.1: ideaCBC_ISOpad
1.3.36.3.1.2.3: ideaOFB
1.3.36.3.1.2.4: ideaCFB
1.3.36.3.1.3: des_3
1.3.36.3.1.3.1: des-3ebc
1.3.36.3.1.3.1.1: des_3ECB_pad
1.3.36.3.1.3.1.1.1: des_3ECB_ISOpad
1.3.36.3.1.3.2: des-3cbc
1.3.36.3.1.3.2.1: des_3CBC_pad
1.3.36.3.1.3.2.1.1: des_3CBC_ISOpad
1.3.36.3.1.4: rsaEncryption
1.3.36.3.1.4.512: rsa-512
1.3.36.3.1.4.512.17: rsaEncryptionWithlmod512expe17
1.3.36.3.1.5: bsi-1
1.3.36.3.1.5.1: bsi_1ECB_pad
1.3.36.3.1.5.2: bsi_1CBC_pad
1.3.36.3.1.5.2.1: bsi_1CBC_PEMpad
1.3.36.3.2: hashAlgorithm
1.3.36.3.2.1: ripemd160
1.3.36.3.2.2: ripemd128
1.3.36.3.2.3: ripemd256
1.3.36.3.2.4: mdc2singleLength
1.3.36.3.2.5: mdc2doubleLength
1.3.36.3.3: signatureAlgorithm
1.3.36.3.3.1: rsaSignature
1.3.36.3.3.1.1: rsaSignatureWithsha1
1.3.36.3.3.1.1.1024: rsaSignatureWithsha1-1024
1.3.36.3.3.1.1.1024.11: rsaSignatureWithsha1_l1024_l11
1.3.36.3.3.1.2: rsaSignatureWithripemd160
1.3.36.3.3.1.2.1024: rsaSignatureWithripemd160-1024
1.3.36.3.3.1.2.1024.11: rsaSignatureWithripemd160_l1024_l11
1.3.36.3.3.1.3: rsaSignatureWithrimpemd128
1.3.36.3.3.1.4: rsaSignatureWithrimpemd256
1.3.36.3.3.2: ecsieSign
1.3.36.3.3.2.1: ecsieSignWithsha1
1.3.36.3.3.2.2: ecsieSignWithripemd160
1.3.36.3.3.2.3: ecsieSignWithmd2
1.3.36.3.3.2.4: ecsieSignWithmd5
1.3.36.3.3.2.8: ecStdCurvesAndGeneration
1.3.36.3.3.2.8.1: ellipticCurve
1.3.36.3.3.2.8.1.1: versionOne
1.3.36.3.3.2.8.1.1.1: brainpoolP160r1
1.3.36.3.3.2.8.1.1.2: brainpoolP160t1
1.3.36.3.3.2.8.1.1.3: brainpoolP192r1
1.3.36.3.3.2.8.1.1.4: brainpoolP192t1
1.3.36.3.3.2.8.1.1.5: brainpoolP224r1
1.3.36.3.3.2.8.1.1.6: brainpoolP224t1
1.3.36.3.3.2.8.1.1.7: brainpoolP256r1
1.3.36.3.3.2.8.1.1.8: brainpoolP256t1
1.3.36.3.3.2.8.1.1.9: brainpoolP320r1
1.3.36.3.3.2.8.1.1.10: brainpoolP320t1
1.3.36.3.3.2.8.1.1.11: brainpoolP384r1
1.3.36.3.3.2.8.1.1.12: brainpoolP384t1
1.3.36.3.3.2.8.1.1.13: brainpoolP512r1
1.3.36.3.3.2.8.1.1.14: brainpoolP512t1
1.3.36.3.4: signatureScheme
1.3.36.3.4.1: sigS_ISO9796-1
1.3.36.3.4.2: sigS_ISO9796-2
1.3.36.3.4.2.1: sigS_ISO9796-2Withred
1.3.36.3.4.2.2: sigS_ISO9796-2Withrsa
1.3.36.3.4.2.3: sigS_ISO9796-2Withrnd
1.3.36.4: attribute
1.3.36.5: policy
1.3.36.6: api
1.3.36.6.1: manufacturer-specific_api
1.3.36.6.1.1: utimaco-api
1.3.36.6.2: functionality-specific_api
1.3.36.7: keymgmnt
1.3.36.7.1: keyagree
1.3.36.7.1.1: bsiPKE
1.3.36.7.2: keytrans
1.3.36.7.2.1: encISO9796-2Withrsa
1.3.36.8: common-pki
1.3.36.8.1: id-commonpki-cp
1.3.36.8.1.1: Teletrust SigGConform policyIdentifier
1.3.36.8.2: id-commonpki-kp
1.3.36.8.2.1: directoryService
1.3.36.8.3: id-commonpki-at
1.3.36.8.3.1: dateOfCertGen
1.3.36.8.3.2: procuration
1.3.36.8.3.3: admission
1.3.36.8.3.4: monetaryLimit
1.3.36.8.3.5: declarationOfMajority
1.3.36.8.3.6: integratedCircuitCardSerialNumber
1.3.36.8.3.7: pKReference
1.3.36.8.3.8: restriction
1.3.36.8.3.9: retrieveIfAllowed
1.3.36.8.3.10: requestedCertificate
1.3.36.8.3.11: namingAuthorities
1.3.36.8.3.11.1: rechtWirtschaftSteuern
1.3.36.8.3.11.1.1: rechtsanwaeltin
1.3.36.8.3.11.1.2: rechtsanwalt
1.3.36.8.3.11.1.3: rechtsBeistand
1.3.36.8.3.11.1.4: steuerBeraterin
1.3.36.8.3.11.1.5: steuerBerater
1.3.36.8.3.11.1.6: steuerBevollmaechtigte
1.3.36.8.3.11.1.7: steuerBevollmaechtigter
1.3.36.8.3.11.1.8: notarin
1.3.36.8.3.11.1.9: notar
1.3.36.8.3.11.1.10: notarVertreterin
1.3.36.8.3.11.1.11: notarVertreter
1.3.36.8.3.11.1.12: notariatsVerwalterin
1.3.36.8.3.11.1.13: notariatsVerwalter
1.3.36.8.3.11.1.14: wirtschaftsPrueferin
1.3.36.8.3.11.1.15: wirtschaftsPruefer
1.3.36.8.3.11.1.16: vereidigteBuchprueferin
1.3.36.8.3.11.1.17: vereidigterBuchpruefer
1.3.36.8.3.11.1.18: patentAnwaeltin
1.3.36.8.3.11.1.19: patentAnwalt
1.3.36.8.3.12: certInDirSince
1.3.36.8.3.13: certHash
1.3.36.8.3.14: nameAtBirth
1.3.36.8.3.15: additionalInformation
1.3.36.8.4: id-commonpki-on
1.3.36.8.4.1: personalData
1.3.36.8.4.8: restriction
1.3.36.8.5: ???
1.3.36.8.5.1: ???
1.3.36.8.5.1.1: ???
1.3.36.8.5.1.1.1: rsaIndicateSHA1
1.3.36.8.5.1.1.2: rsaIndicateRIPEMD160
1.3.36.8.5.1.1.3: rsaWithSHA1
1.3.36.8.5.1.1.4: rsaWithRIPEMD160
1.3.36.8.5.1.2: ???
1.3.36.8.5.1.2.1: dsaExtended
1.3.36.8.5.1.2.2: dsaWithRIPEMD160
1.3.36.8.6: signature-attributes
1.3.36.8.6.1: cert
1.3.36.8.6.2: certRef
1.3.36.8.6.3: attrCert
1.3.36.8.6.4: attrRef
1.3.36.8.6.5: fileName
1.3.36.8.6.6: storageTime
1.3.36.8.6.7: fileSize
1.3.36.8.6.8: location
1.3.36.8.6.9: sigNumber
1.3.36.8.6.10: autoGen
1.3.36.8.7: ???
1.3.36.8.7.1: pt
1.3.36.8.7.1.1: ptAdobeILL
1.3.36.8.7.1.2: ptAmiPro
1.3.36.8.7.1.3: ptAutoCAD
1.3.36.8.7.1.4: ptBinary
1.3.36.8.7.1.5: ptBMP
1.3.36.8.7.1.6: ptCGM
1.3.36.8.7.1.7: ptCorelCRT
1.3.36.8.7.1.8: ptCorelDRW
1.3.36.8.7.1.9: ptCorelEXC
1.3.36.8.7.1.10: ptCorelPHT
1.3.36.8.7.1.11: ptDraw
1.3.36.8.7.1.12: ptDVI
1.3.36.8.7.1.13: ptEPS
1.3.36.8.7.1.14: ptExcel
1.3.36.8.7.1.15: ptGEM
1.3.36.8.7.1.16: ptGIF
1.3.36.8.7.1.17: ptHPGL
1.3.36.8.7.1.18: ptJPEG
1.3.36.8.7.1.19: ptKodak
1.3.36.8.7.1.20: ptLaTeX
1.3.36.8.7.1.21: ptLotus
1.3.36.8.7.1.22: ptLotusPIC
1.3.36.8.7.1.23: ptMacPICT
1.3.36.8.7.1.24: ptMacWord
1.3.36.8.7.1.25: ptMSWfD
1.3.36.8.7.1.26: ptMSWord
1.3.36.8.7.1.27: ptMSWord2
1.3.36.8.7.1.28: ptMSWord6
1.3.36.8.7.1.29: ptMSWord8
1.3.36.8.7.1.30: ptPDF
1.3.36.8.7.1.31: ptPIF
1.3.36.8.7.1.32: ptPostscript
1.3.36.8.7.1.33: ptRTF
1.3.36.8.7.1.34: ptSCITEX
1.3.36.8.7.1.35: ptTAR
1.3.36.8.7.1.36: ptTarga
1.3.36.8.7.1.37: ptTeX
1.3.36.8.7.1.38: ptText
1.3.36.8.7.1.39: ptTIFF
1.3.36.8.7.1.40: ptTIFF-FC
1.3.36.8.7.1.41: ptUID
1.3.36.8.7.1.42: ptUUEncode
1.3.36.8.7.1.43: ptWMF
1.3.36.8.7.1.44: ptWordPerfect
1.3.36.8.7.1.45: ptWPGrph
1.3.101: thawte
1.3.101.1: ???
1.3.101.1.4: thawte-ce
1.3.101.1.4.1: strongExtranet
1.3.101.110: curveX25519
1.3.101.111: curveX448
1.3.101.112: curveEd25519
1.3.101.113: curveEd448
1.3.101.114: curveEd25519ph
1.3.101.115: curveEd448ph
1.3.132: certicom
1.3.132.0: curve
1.3.132.0.1: sect163k1
1.3.132.0.2: sect163r1
1.3.132.0.3: sect239k1
1.3.132.0.4: sect113r1
1.3.132.0.5: sect113r2
1.3.132.0.6: secp112r1
1.3.132.0.7: secp112r2
1.3.132.0.8: secp160r1
1.3.132.0.9: secp160k1
1.3.132.0.10: secp256k1
1.3.132.0.15: sect163r2
1.3.132.0.16: sect283k1
1.3.132.0.17: sect283r1
1.3.132.0.22: sect131r1
1.3.132.0.23: sect131r2
1.3.132.0.24: sect193r1
1.3.132.0.25: sect193r2
1.3.132.0.26: sect233k1
1.3.132.0.27: sect233r1
1.3.132.0.28: secp128r1
1.3.132.0.29: secp128r2
1.3.132.0.30: secp160r2
1.3.132.0.31: secp192k1
1.3.132.0.32: secp224k1
1.3.132.0.33: secp224r1
1.3.132.0.34: secp384r1
1.3.132.0.35: secp521r1
1.3.132.0.36: sect409k1
1.3.132.0.37: sect409r1
1.3.132.0.38: sect571k1
1.3.132.0.39: sect571r1
1.3.132.1: schemes
1.3.132.1.11: dh-sp-std-kdf
1.3.132.1.11.0: ecdhX963KDF-SHA224
1.3.132.1.11.1: ecdhX963KDF-SHA256
1.3.132.1.11.2: ecdhX963KDF-SHA384
1.3.132.1.11.3: ecdhX963KDF-SHA512
1.3.132.1.14: dh-sp-cf-kdf
1.3.132.1.14.0: eccofactordhX963KDF-SHA224
1.3.132.1.14.1: eccofactordhX963KDF-SHA256
1.3.132.1.14.2: eccofactordhX963KDF-SHA384
1.3.132.1.14.3: eccofactordhX963KDF-SHA512
1.3.132.1.15: mqv-sp-cf-kdf
1.3.132.1.15.0: ecmqv-X963KDF-SHA224
1.3.132.1.15.1: ecmqv-X963KDF-SHA256
1.3.132.1.15.2: ecmqv-X963KDF-SHA384
1.3.132.1.15.3: ecmqv-X963KDF-SHA512
1.3.133: tc68
1.3.133.16: country
1.3.133.16.840: x9
1.3.133.16.840.9: x9standards
1.3.133.16.840.9.44: x944
1.3.133.16.840.9.44.1: x944Components
1.3.133.16.840.9.44.1.1: x944Kdf2
1.3.133.16.840.9.44.1.2: x944Kdf3
1.3.133.16.840.9.84: x984
1.3.133.16.840.9.84.0: x984Module
1.3.133.16.840.9.84.0.1: x984Biometrics
1.3.133.16.840.9.84.0.2: x984CMS
1.3.133.16.840.9.84.0.3: x984Identifiers
1.3.133.16.840.9.84.1: x984Biometric
1.3.133.16.840.9.84.1.0: biometricUnknownType
1.3.133.16.840.9.84.1.1: biometricBodyOdor
1.3.133.16.840.9.84.1.2: biometricDNA
1.3.133.16.840.9.84.1.3: biometricEarShape
1.3.133.16.840.9.84.1.4: biometricFacialFeatures
1.3.133.16.840.9.84.1.5: biometricFingerImage
1.3.133.16.840.9.84.1.6: biometricFingerGeometry
1.3.133.16.840.9.84.1.7: biometricHandGeometry
1.3.133.16.840.9.84.1.8: biometricIrisFeatures
1.3.133.16.840.9.84.1.9: biometricKeystrokeDynamics
1.3.133.16.840.9.84.1.10: biometricPalm
1.3.133.16.840.9.84.1.11: biometricRetina
1.3.133.16.840.9.84.1.12: biometricSignature
1.3.133.16.840.9.84.1.13: biometricSpeechPattern
1.3.133.16.840.9.84.1.14: biometricThermalImage
1.3.133.16.840.9.84.1.15: biometricVeinPattern
1.3.133.16.840.9.84.1.16: biometricThermalFaceImage
1.3.133.16.840.9.84.1.17: biometricThermalHandImage
1.3.133.16.840.9.84.1.18: biometricLipMovement
1.3.133.16.840.9.84.1.19: biometricGait
1.3.133.16.840.9.84.3: x984MatchingMethod
1.3.133.16.840.9.84.4: x984FormatOwner
1.3.133.16.840.9.84.4.0: x984CbeffOwner
1.3.133.16.840.9.84.4.1: x984IbiaOwner
1.3.133.16.840.9.84.4.1.1: ibiaOwnerSAFLINK
1.3.133.16.840.9.84.4.1.2: ibiaOwnerBioscrypt
1.3.133.16.840.9.84.4.1.3: ibiaOwnerVisionics
1.3.133.16.840.9.84.4.1.4: ibiaOwnerInfineonTechnologiesAG
1.3.133.16.840.9.84.4.1.5: ibiaOwnerIridianTechnologies
1.3.133.16.840.9.84.4.1.6: ibiaOwnerVeridicom
1.3.133.16.840.9.84.4.1.7: ibiaOwnerCyberSIGN
1.3.133.16.840.9.84.4.1.8: ibiaOwnereCryp
1.3.133.16.840.9.84.4.1.9: ibiaOwnerFingerprintCardsAB
1.3.133.16.840.9.84.4.1.10: ibiaOwnerSecuGen
1.3.133.16.840.9.84.4.1.11: ibiaOwnerPreciseBiometric
1.3.133.16.840.9.84.4.1.12: ibiaOwnerIdentix
1.3.133.16.840.9.84.4.1.13: ibiaOwnerDERMALOG
1.3.133.16.840.9.84.4.1.14: ibiaOwnerLOGICO
1.3.133.16.840.9.84.4.1.15: ibiaOwnerNIST
1.3.133.16.840.9.84.4.1.16: ibiaOwnerA3Vision
1.3.133.16.840.9.84.4.1.17: ibiaOwnerNEC
1.3.133.16.840.9.84.4.1.18: ibiaOwnerSTMicroelectronics
1.3.158: slovakian-economic-subject
1.3.158.36061701: ???
1.3.158.36061701.0: ???
1.3.158.36061701.0.0: ???
1.3.158.36061701.0.0.0: ???
1.3.158.36061701.0.0.0.1: ???
1.3.158.36061701.0.0.0.1.2: ???
1.3.158.36061701.0.0.0.1.2.2: qcpSK
2: joint-iso-itu-t
2.5: ds
2.5.4: attributeType
2.5.4.0: objectClass
2.5.4.1: aliasedEntryName
2.5.4.2: knowledgeInformation
2.5.4.3: commonName
2.5.4.4: surname
2.5.4.5: serialNumber
2.5.4.6: countryName
2.5.4.7: localityName
2.5.4.7.1: collectiveLocalityName
2.5.4.8: stateOrProvinceName
2.5.4.8.1: collectiveStateOrProvinceName
2.5.4.9: streetAddress
2.5.4.9.1: collectiveStreetAddress
2.5.4.10: organizationName
2.5.4.10.1: collectiveOrganizationName
2.5.4.11: organizationalUnitName
2.5.4.11.1: collectiveOrganizationalUnitName
2.5.4.12: title
2.5.4.13: description
2.5.4.14: searchGuide
2.5.4.15: businessCategory
2.5.4.16: postalAddress
2.5.4.16.1: collectivePostalAddress
2.5.4.17: postalCode
2.5.4.17.1: collectivePostalCode
2.5.4.18: postOfficeBox
2.5.4.18.1: collectivePostOfficeBox
2.5.4.19: physicalDeliveryOfficeName
2.5.4.19.1: collectivePhysicalDeliveryOfficeName
2.5.4.20: telephoneNumber
2.5.4.20.1: collectiveTelephoneNumber
2.5.4.21: telexNumber
2.5.4.21.1: collectiveTelexNumber
2.5.4.22: teletexTerminalIdentifier
2.5.4.22.1: collectiveTeletexTerminalIdentifier
2.5.4.23: facsimileTelephoneNumber
2.5.4.23.1: collectiveFacsimileTelephoneNumber
2.5.4.24: x121Address
2.5.4.25: internationalISDNNumber
2.5.4.25.1: collectiveInternationalISDNNumber
2.5.4.26: registeredAddress
2.5.4.27: destinationIndicator
2.5.4.28: preferredDeliveryMehtod
2.5.4.29: presentationAddress
2.5.4.30: supportedApplicationContext
2.5.4.31: member
2.5.4.32: owner
2.5.4.33: roleOccupant
2.5.4.34: seeAlso
2.5.4.35: userPassword
2.5.4.36: userCertificate
2.5.4.37: caCertificate
2.5.4.38: authorityRevocationList
2.5.4.39: certificateRevocationList
2.5.4.40: crossCertificatePair
2.5.4.41: name
2.5.4.42: givenName
2.5.4.43: initials
2.5.4.44: generationQualifier
2.5.4.45: uniqueIdentifier
2.5.4.46: dnQualifier
2.5.4.47: enhancedSearchGuide
2.5.4.48: protocolInformation
2.5.4.49: distinguishedName
2.5.4.50: uniqueMember
2.5.4.51: houseIdentifier
2.5.4.52: supportedAlgorithms
2.5.4.53: deltaRevocationList
2.5.4.54: dmdName
2.5.4.55: clearance
2.5.4.56: defaultDirQop
2.5.4.57: attributeIntegrityInfo
2.5.4.58: attributeCertificate
2.5.4.59: attributeCertificateRevocationList
2.5.4.60: confKeyInfo
2.5.4.61: aACertificate
2.5.4.62: attributeDescriptorCertificate
2.5.4.63: attributeAuthorityRevocationList
2.5.4.64: familyInformation
2.5.4.65: pseudonym
2.5.4.66: communicationsService
2.5.4.67: communicationsNetwork
2.5.4.68: certificationPracticeStmt
2.5.4.69: certificatePolicy
2.5.4.70: pkiPath
2.5.4.71: privPolicy
2.5.4.72: role
2.5.4.73: delegationPath
2.5.4.74: protPrivPolicy
2.5.4.75: xMLPrivilegeInfo
2.5.4.76: xmlPrivPolicy
2.5.4.77: uuidpair
2.5.4.78: tagOid
2.5.4.79: uiiFormat
2.5.4.80: uiiInUrh
2.5.4.81: contentUrl
2.5.4.82: permission
2.5.4.83: uri
2.5.4.84: pwdAttribute
2.5.4.85: userPwd
2.5.4.86: urn
2.5.4.87: url
2.5.4.88: utmCoordinates
2.5.4.89: urnC
2.5.4.90: uii
2.5.4.91: epc
2.5.4.92: tagAfi
2.5.4.93: epcFormat
2.5.4.94: epcInUrn
2.5.4.95: ldapUrl
2.5.4.96: tagLocation
2.5.4.97: organizationIdentifier
2.5.4.98: countryCode3c
2.5.4.99: countryCode3n
2.5.4.100: dnsName
2.5.4.101: eepkCertificateRevocationList
2.5.4.102: eeAttrCertificateRevocationList
2.5.4.103: supportedPublicKeyAlgorithms
2.5.4.104: intEmail
2.5.4.105: jid
2.5.4.106: objectIdentifier
2.5.6: objectClass
2.5.6.0: top
2.5.6.1: alias
2.5.6.2: country
2.5.6.3: locality
2.5.6.4: organization
2.5.6.5: organizationalUnit
2.5.6.6: person
2.5.6.7: organizationalPerson
2.5.6.8: organizationalRole
2.5.6.9: groupOfNames
2.5.6.10: residentialPerson
2.5.6.11: applicationProcess
2.5.6.12: applicationEntity
2.5.6.13: dSA
2.5.6.14: device
2.5.6.15: strongAuthenticationUser
2.5.6.16: certificateAuthority
2.5.6.17: groupOfUniqueNames
2.5.6.21: pkiUser
2.5.6.22: pkiCA
2.5.8: algorithm
2.5.8.1: encryptionAlgorithm
2.5.8.1.1: rsa
2.5.29: certificateExtension
2.5.29.1: authorityKeyIdentifier
2.5.29.2: keyAttributes
2.5.29.3: certificatePolicies
2.5.29.4: keyUsageRestriction
2.5.29.5: policyMapping
2.5.29.6: subtreesConstraint
2.5.29.7: subjectAltName
2.5.29.8: issuerAltName
2.5.29.9: subjectDirectoryAttributes
2.5.29.10: basicConstraints
2.5.29.11: nameConstraints
2.5.29.12: policyConstraints
2.5.29.13: basicConstraints
2.5.29.14: subjectKeyIdentifier
2.5.29.15: keyUsage
2.5.29.16: privateKeyUsagePeriod
2.5.29.17: subjectAltName
2.5.29.18: issuerAltName
2.5.29.19: basicConstraints
2.5.29.20: cRLNumber
2.5.29.21: cRLReason
2.5.29.22: expirationDate
2.5.29.23: instructionCode
2.5.29.24: invalidityDate
2.5.29.25: cRLDistributionPoints
2.5.29.26: issuingDistributionPoint
2.5.29.27: deltaCRLIndicator
2.5.29.28: issuingDistributionPoint
2.5.29.29: certificateIssuer
2.5.29.30: nameConstraints
2.5.29.31: cRLDistributionPoints
2.5.29.32: certificatePolicies
2.5.29.32.0: anyPolicy
2.5.29.33: policyMappings
2.5.29.34: policyConstraints
2.5.29.35: authorityKeyIdentifier
2.5.29.36: policyConstraints
2.5.29.37: extKeyUsage
2.5.29.37.0: anyExtendedKeyUsage
2.5.29.38: authorityAttributeIdentifier
2.5.29.39: roleSpecCertIdentifier
2.5.29.40: cRLStreamIdentifier
2.5.29.41: basicAttConstraints
2.5.29.42: delegatedNameConstraints
2.5.29.43: timeSpecification
2.5.29.44: cRLScope
2.5.29.45: statusReferrals
2.5.29.46: freshestCRL
2.5.29.47: orderedList
2.5.29.48: attributeDescriptor
2.5.29.49: userNotice
2.5.29.50: sOAIdentifier
2.5.29.51: baseUpdateTime
2.5.29.52: acceptableCertPolicies
2.5.29.53: deltaInfo
2.5.29.54: inhibitAnyPolicy
2.5.29.55: targetInformation
2.5.29.56: noRevAvail
2.5.29.57: acceptablePrivilegePolicies
2.5.29.58: toBeRevoked
2.5.29.59: revokedGroups
2.5.29.60: expiredCertsOnCRL
2.5.29.61: indirectIssuer
2.5.29.62: noAssertion
2.5.29.63: aAissuingDistributionPoint
2.5.29.64: issuedOnBehalfOf
2.5.29.65: singleUse
2.5.29.66: groupAC
2.5.29.67: allowedAttAss
2.5.29.68: attributeMappings
2.5.29.69: holderNameConstraints
2.16: country
2.16.528: nl
2.16.528.1: nederlandse-organisatie
2.16.528.1.1001: diginotar
2.16.528.1.1001.1: ???
2.16.528.1.1001.1.1: ???
2.16.528.1.1001.1.1.1: ???
2.16.528.1.1001.1.1.1.12: ???
2.16.528.1.1001.1.1.1.12.6: ???
2.16.528.1.1001.1.1.1.12.6.1: ???
2.16.528.1.1001.1.1.1.12.6.1.1: ???
2.16.528.1.1001.1.1.1.12.6.1.1.1: DigiNotar EV policy
2.16.578: no
2.16.578.1: organisasjon
2.16.578.1.26: buypass
2.16.578.1.26.1: ???
2.16.578.1.26.1.3: ???
2.16.578.1.26.1.3.1: privateKeySmartCard
2.16.578.1.26.1.3.2: privateKeySoftToken
2.16.578.1.26.1.3.3: sslEvident.  Also assigned as BuyPass EV policy
2.16.578.1.26.1.3.4: sslBusinessPlus
2.16.578.1.26.1.3.5: privateKeyHardToken
2.16.578.1.26.1.3.6: privateKeyHSM
2.16.724: es
2.16.724.1: adm
2.16.724.1.2: dgp
2.16.724.1.2.2: ???
2.16.724.1.2.2.4: ???
2.16.724.1.2.2.4.1: personalDataInfo
2.16.756: ch
2.16.756.1: rdn
2.16.756.1.89: swisssign-ag
2.16.756.1.89.1: ???
2.16.756.1.89.1.2: ???
2.16.756.1.89.1.2.1: ???
2.16.756.1.89.1.2.1.1: SwissSign EV policy
2.16.840: us
2.16.840.1: organization
2.16.840.1.101: gov
2.16.840.1.101.2: dod
2.16.840.1.101.2.1: infosec
2.16.840.1.101.2.1.1: algorithms
2.16.840.1.101.2.1.1.1: sdnsSignatureAlgorithm
2.16.840.1.101.2.1.1.2: fortezzaSignatureAlgorithm
2.16.840.1.101.2.1.1.3: sdnsConfidentialityAlgorithm
2.16.840.1.101.2.1.1.4: fortezzaConfidentialityAlgorithm
2.16.840.1.101.2.1.1.5: sdnsIntegrityAlgorithm
2.16.840.1.101.2.1.1.6: fortezzaIntegrityAlgorithm
2.16.840.1.101.2.1.1.7: sdnsTokenProtectionAlgorithm
2.16.840.1.101.2.1.1.8: fortezzaTokenProtectionAlgorithm
2.16.840.1.101.2.1.1.9: sdnsKeyManagementAlgorithm
2.16.840.1.101.2.1.1.10: fortezzaKeyManagementAlgorithm
2.16.840.1.101.2.1.1.11: sdnsKMandSigAlgorithm
